default,WC/TA,RE/TA,EBIT/TA,ME/TL,S/TA
0,0.14,0.23,0.06,0.96,0.22
0,0.15,0.24,0.06,0.96,0.22
0,0.45,-3.05,-0.02,6.27,0.09
0,0.58,-2.37,0.02,23.54,0.15
0,0.42,-1.94,0.02,15.87,0.17
0,-0.02,0.21,0.04,0.92,0.15
0,-0.08,0.22,0.03,0.81,0.1
0,-0.06,0.18,0.04,0.41,0.1
0,0,0.16,0.05,0.55,0.11
0,0.02,0.21,0.04,0.83,0.12
0,0.35,0.02,0.06,0.47,0.29
0,0.36,0.04,0.05,0.81,0.3
0,0.34,0.03,0.07,0.37,0.35
0,0.03,0.29,0.05,2.35,0.11
0,-0.03,0.25,0.06,1.18,0.1
0,0.01,0.35,0.05,0.92,0.11
0,0.03,0.39,0.04,1.09,0.12
0,0,0.42,0.04,1.11,0.1
0,0.05,0.34,0.03,0.59,0.51
0,0.07,0.25,0.02,0.23,0.44
0,0.09,0.24,0.03,1.07,0.46
0,0.14,-0.08,0.04,0.24,0.48
0,0.17,-0.29,0.03,0.84,0.58
0,0.25,-0.29,0.05,2.06,0.59
0,0.1,0.27,0.05,1.17,0.19
0,0.23,0.53,0.05,1.97,0.47
0,0.27,0.54,0.06,2.01,0.55
0,0.16,0.42,0.03,1.15,0.6
0,0.21,0.42,0.03,0.68,0.57
0,0.26,0.43,0.05,1.23,0.53
0,0.36,0.43,0.05,1.66,0.49
1,0.16,0.11,0.07,1.36,0.4
0,0.15,-0.82,0.06,0.35,0.33
0,0.17,-0.41,0.05,0.53,0.25
0,0.13,-0.3,0.07,0.81,0.24
0,0.03,-0.12,0.05,1.21,0.2
0,0.08,-0.02,0.07,0.46,0.18
0,0.34,-0.04,0.03,0.14,0.16
0,0.21,-0.02,0.05,0.57,0.18
0,0.13,0.01,0.07,1.45,0.17
0,0.16,0.07,0.07,1.17,0.18
0,0.22,0.08,0.08,2.74,0.19
0,0.23,0.42,0.03,0.67,0.21
0,0.05,0.26,0.05,0.28,0.16
0,0.07,0.36,0.04,0.56,0.19
0,0.1,0.36,0.05,0.34,0.21
0,0.07,0.41,0.04,0.47,0.19
0,0.04,0.43,0.04,0.66,0.21
0,-0.02,0.45,0,1.74,0.25
0,0,0.48,0.05,2.24,0.31
0,0.04,0.51,0.06,2.84,0.27
0,0.02,0.49,0.03,2.8,0.21
0,0.02,0.45,0.06,2.52,0.27
0,0.04,0.52,0.08,2.61,0.33
0,0,0.44,0.01,2.21,0.28
0,-0.01,0.43,0.05,1.58,0.36
0,0.06,0.46,0.07,2.06,0.37
0,0.13,0.51,0.07,2.35,0.45
0,-0.03,0.59,0.08,4.79,0.51
0,-0.06,0.58,0.07,3.89,0.47
0,-0.04,0.61,0.07,4.39,0.46
0,0.04,0.6,0.08,2.78,0.48
0,0.22,-0.68,0.03,5.67,0.22
0,0.15,-0.58,0.03,3.47,0.21
0,0.21,-0.52,0.02,3.37,0.12
0,0.46,-0.14,0.03,4.82,0.12
0,0.33,-0.11,0.02,10.1,0.09
0,0.31,-0.14,0.05,13.89,0.16
0,0.32,-0.09,0.03,8.97,0.14
0,0.39,-0.02,0.06,8.19,0.15
0,0.23,0.08,0.04,6.15,0.15
0,0.25,0.09,0.02,3.7,0.13
0,0.1,0.55,0.06,4.19,0.41
0,0.06,0.63,0.05,3.87,0.46
0,0.14,0.36,0.05,1.59,0.3
0,0.13,0.38,0.05,1.93,0.31
0,0.07,0.41,0.07,2.39,0.29
0,0.11,0.29,0.05,1.61,0.24
0,0.01,0.06,0.03,1.96,0.08
0,-0.02,-0.03,0.03,1.14,0.11
0,-0.04,-0.09,0.02,0.47,0.13
0,-0.19,-3.31,0.05,0.22,0.38
0,0,-1.71,0.07,0.47,0.19
0,0.01,-1.79,0.07,0.43,0.17
0,0.14,0.11,0.07,0.57,0.33
0,0.2,0.14,0.06,0.58,0.31
0,0.21,-0.18,0.01,0.29,0.23
0,0.05,-0.47,0.05,0.22,0.31
0,0.29,-0.53,0.05,0.27,0.32
0,0.05,0.31,0.04,0.48,0.15
0,0.04,0.34,0.04,0.54,0.16
0,0.02,0.37,0.04,0.65,0.16
0,0.02,0.37,0.05,0.52,0.15
0,0.02,0.36,0.06,0.83,0.17
0,0.03,0.38,0.06,1.4,0.18
0,0.07,0.09,0.05,4.59,0.11
0,0.05,0.09,0.03,4.73,0.09
0,0.05,0.07,0.03,4.5,0.09
0,0.02,0.04,0.03,1.47,0.07
0,0.02,0.02,0.04,1.74,0.07
0,0.01,-0.57,0.03,1.72,0.12
0,0.05,-0.5,0.05,2.28,0.1
0,0.04,-0.96,0.05,1.86,0.15
0,0.02,0.11,0.02,0.37,0.07
0,0.03,0.02,0.02,0.37,0.07
0,-0.86,-0.68,0.04,0.03,0.14
0,-0.02,0.43,0.08,4.94,0.3
0,0.02,0.45,0.09,4.15,0.3
0,0.05,0.51,0.09,3.85,0.32
0,-0.02,0.56,0.11,4.21,0.33
0,-0.11,0.63,0.1,3.83,0.35
0,-0.02,0.7,0.11,5.01,0.35
0,0.02,0,0.04,0.32,0.25
0,0.05,0,0.03,0.25,0.24
0,-0.02,0,0.03,0.27,0.26
0,0.05,0.03,0.04,0.36,0.23
0,0.08,0.03,0.04,0.3,0.25
0,0.06,0.05,0.05,0.32,0.27
0,-0.14,0.92,0.09,11.92,0.25
0,-0.12,0.94,0.08,13.15,0.25
0,-0.03,0.96,0.08,10.64,0.23
0,0.02,0.89,0.08,8.59,0.22
0,0.05,0.93,0.08,9.41,0.22
0,0.07,0.92,0.08,6.58,0.2
0,0.48,-0.94,-0.05,0.38,0.1
1,0.37,-1.43,-0.05,0.18,0.11
0,0.05,0.44,0.1,6.81,0.35
0,0.05,0.54,0.11,6.42,0.37
0,0.04,0.61,0.1,5.22,0.36
0,0.03,0.67,0.08,4.23,0.38
0,0.04,0.77,0.1,4.1,0.36
0,0.03,0.77,0.09,3.69,0.36
0,-0.06,0.09,0.07,1.07,0.13
0,0.19,0.22,0.05,2.06,0.09
0,0.06,0.07,0.04,1.76,0.09
0,0.07,0.09,0.02,1.46,0.1
0,-0.04,0.04,0.02,0.74,0.05
0,-0.01,0.08,0.05,1.12,0.07
0,-0.02,0.09,0.04,1.2,0.07
0,0.3,0.37,0.06,0.69,0.55
0,0.27,0.4,0.06,0.53,0.65
0,0.29,0.42,0.05,0.66,0.63
0,0.35,0.36,0.03,0.77,0.58
0,0.35,0.35,0.04,0.76,0.65
0,0.36,0.29,0.07,0.79,0.77
0,0.12,0.14,0.04,1.03,0.14
0,0.1,0.32,0.04,3.71,0.4
0,0.17,0.27,0.06,2.04,0.49
0,0.13,0.21,0.04,1.36,0.4
0,0.09,0.26,0.08,3.1,0.15
0,0.07,0.26,0,1.89,0.07
0,0.1,0.19,0.01,1.69,0.1
0,0.08,0.19,0.04,1.2,0.11
0,0.11,0.21,0.04,2.64,0.11
0,0.16,0.37,0.06,4.72,0.47
0,-0.03,0.28,0.03,1.13,0.38
0,0.1,0.3,0.05,1.79,0.38
0,0.13,0.32,0.07,1.09,0.34
0,0.17,0.35,0.05,1.21,0.33
0,0.18,0.4,0.05,1.46,0.34
0,0.06,0.12,0.07,1.25,0.53
0,0.05,0.1,0.05,0.94,0.41
0,0.19,0.16,0.04,1.27,0.28
0,0.17,0.21,0.06,1.61,0.29
0,0,0.33,0.03,0.78,0.13
0,0,0.3,0.06,0.72,0.14
0,0,0.26,0.05,0.75,0.13
0,0.09,0.27,0.05,0.82,0.49
0,0.13,0.28,0.04,0.78,0.46
0,0.18,0.16,0.03,0.72,0.4
0,0.17,0.19,0.06,0.85,0.49
0,0.21,0.21,0.05,0.9,0.33
0,0.34,0.19,0.06,1.54,0.42
0,0.04,0.27,0.05,1.54,0.18
0,-0.05,-0.02,0.06,0.49,0.17
0,-0.05,-0.01,0.05,0.57,0.17
0,-0.06,-0.01,0.06,0.66,0.18
0,-0.01,-0.01,0.03,0.62,0.16
0,-0.01,0.02,0.04,0.31,0.14
0,-0.02,0,0.04,0.33,0.25
0,-0.01,-0.06,0.03,0.23,0.24
0,0.02,-0.16,-0.01,0.14,0.16
0,0.1,-0.13,0.04,0.15,0.12
0,0.11,-0.1,0.03,0.17,0.14
0,0.24,0.41,0.06,0.71,0.29
0,0.18,0.39,0.05,0.43,0.32
0,0.14,0.4,0.05,0.65,0.31
0,0.19,0.41,0.05,0.67,0.34
0,0.23,0.43,0.04,0.89,0.21
0,0.53,0.55,0.03,1.12,0.23
0,0.24,-0.23,0.07,2.9,0.19
0,0.16,-0.11,0.06,4.15,0.2
0,0.25,0,0.08,5.2,0.21
0,0.15,0.09,0.07,3.15,0.2
0,0.25,0.19,0.08,4.86,0.19
0,0.26,0.3,0.07,8.64,0.2
0,0.18,0.56,0.03,2.68,0.34
0,0.11,0.58,0.05,4.13,0.39
0,0.07,0.56,0.05,2.38,0.35
0,0.01,0.25,0.04,0.67,0.26
0,0.02,0.3,0.04,0.64,0.26
0,0.06,0.36,0.06,0.93,0.26
0,0.09,0.31,0.06,7.82,0.23
0,0.17,0.15,0.06,6.81,0.13
0,0.2,-0.27,0,1.18,0.11
0,0.22,-0.42,0.01,0.57,0.09
0,0.13,-0.45,0.05,2.65,0.11
0,0.12,-0.72,0.04,2.83,0.14
0,-0.03,0.65,0.06,3.31,0.47
0,-0.02,0.62,0.08,3.22,0.47
0,0,0.64,0.08,2.91,0.45
0,0.26,0.54,0.09,2.2,0.35
0,0.26,0.63,0.07,3.23,0.33
0,0.24,0.62,0.05,2.42,0.33
0,0.2,0.55,-0.01,1.59,0.28
0,0.16,0.52,0.06,1.82,0.27
0,0.17,0.4,0.05,1.19,0.27
0,0.13,-0.03,0.04,0.46,0.24
0,0.07,-0.1,0.03,0.41,0.21
0,0.07,-0.25,0.02,0.29,0.21
0,0.07,-0.24,0.03,0.4,0.25
0,0.15,-0.22,0.04,0.61,0.26
0,0,0.04,0.02,0.18,0.8
0,-0.02,0.08,0.02,0.34,0.18
0,0.09,0.02,0.03,0.14,0.18
0,0.02,-0.13,0.02,0.07,0.2
0,0.01,-0.31,0.05,0.21,0.24
0,0.03,-0.27,0.05,0.23,0.23
0,0.06,-0.26,0.06,0.33,0.26
0,0.22,0.17,0.06,0.63,0.42
0,0.17,0.16,0.02,0.52,0.39
0,0.19,0.09,0.04,0.53,0.37
0,0.17,0.04,0.03,0.32,0.31
0,0.18,0.05,0.04,0.54,0.38
0,0.2,0.08,0.05,0.75,0.38
0,0.2,-0.17,0.03,0.53,0.3
0,0.2,-0.39,-0.01,0.22,0.36
0,0.03,-0.02,0.01,0.12,0.75
0,-0.08,-0.17,-0.01,0.08,0.93
0,0.11,0.22,0.05,0.64,0.33
0,0.03,0.24,0.02,0.29,0.29
0,0.05,0.19,0.04,0.27,0.27
0,0.17,0.15,0.04,0.25,0.27
0,0.18,0.21,0.04,0.39,0.25
0,0.12,0.25,0.02,0.42,0.26
0,0.19,0.45,0.07,5.16,0.31
0,0.14,0.43,0.08,4.65,0.3
0,0.21,0.42,0.05,3.36,0.22
0,0.22,0.38,0.06,3.36,0.25
0,0.25,0.42,0.06,4.38,0.25
0,0.11,0.45,0.07,4.61,0.26
0,0.07,0.31,0.1,2.58,0.67
0,0.08,0.3,0.09,2.65,0.66
0,0.14,0.31,0.08,2.49,0.58
0,0.17,0.32,0.07,1.37,0.53
0,0.17,0.33,0.07,1.73,0.48
0,0.21,0.37,0.08,2.38,0.49
0,0.01,0.21,0.03,1.45,0.12
0,0.01,0.2,0.04,0.99,0.11
0,0.05,0.24,0.06,1.24,0.1
0,0.04,0.24,0.05,0.92,0.09
0,0.06,0.24,0.06,0.61,0.09
0,-0.03,0.25,0.05,0.78,0.11
0,0.09,0.3,0.05,1.07,0.1
0,0.1,0.44,0.05,0.84,0.53
0,0.1,0.39,0.04,0.92,0.54
0,-0.07,0.02,0.05,0.39,0.17
0,-0.07,0.05,0.05,0.38,0.22
0,-0.17,0.04,0.03,0.47,0.14
0,-0.13,0.2,0.06,0.7,0.27
0,-0.06,0.24,0.04,0.4,0.21
0,-0.09,0.15,-0.01,0.21,0.14
0,-0.08,0.03,0.02,0.09,0.16
0,-0.04,-0.03,0.03,0.09,0.17
0,-0.09,-0.27,-0.01,0.07,0.19
0,-0.13,0.24,0.14,4.77,0.5
0,-0.5,0.06,0.2,6.03,0.63
0,0.02,0.02,0.16,4.34,0.49
0,-0.53,-0.59,0.17,2.45,0.55
0,-0.18,-0.14,0.09,1.15,0.34
0,0.01,0.13,0.05,0.5,0.13
0,0.01,0.11,0.03,0.56,0.12
0,0.02,0.14,0.03,0.47,0.11
0,0.03,0.13,0.04,0.52,0.14
0,0.28,0.49,0.05,1.52,0.27
0,0.3,0.13,0.05,2.01,0.29
0,0.13,0.14,0.06,1.07,0.24
0,0.1,0.12,0.05,0.78,0.24
0,0.23,0.13,0.05,0.97,0.22
0,0.33,0.18,0.05,0.25,0.26
0,0.37,0.2,0.06,0.14,0.3
0,0.18,0.2,0.05,0.61,0.28
0,0.37,0.22,0.05,0.4,0.29
0,0.35,0.24,0.06,0.38,0.3
0,0.37,0.2,0.05,0.31,0.26
0,0.25,0.23,0.03,1.83,0.16
0,0.19,0.22,0.04,2.54,0.19
0,0.18,0.19,0.03,2.64,0.16
0,0.13,0.18,0.05,1.59,0.18
0,0.21,0.11,0.04,1.13,0.18
0,0.28,0.11,0.08,2.97,0.21
0,0.35,0.36,0.05,0.41,0.37
0,0.3,0.39,0.06,0.29,0.4
0,0.31,0.41,0.06,0.29,0.4
0,0.37,0.35,0.05,0.3,0.41
0,0.29,0.36,0.05,0.35,0.4
0,0.25,0.44,0.04,0.64,0.44
0,0.08,0.3,0.06,2.39,0.17
0,0.08,0.32,0.03,2.39,0.15
0,0.07,0.3,0.05,3.85,0.18
0,0.05,0.31,0.04,1.89,0.16
0,0.03,0.29,0.04,1.18,0.17
0,0.02,0.29,0.04,1.6,0.15
0,-0.01,0.32,0.05,1.69,0.16
0,0.17,0.02,0.05,0.32,0.39
0,0.18,0,0.02,0.1,0.35
0,0.11,-0.02,0.05,0.22,0.36
0,0.18,0.01,0.04,0.17,0.17
0,0.25,-0.08,0.05,0.62,0.29
0,0.27,-0.01,0.07,1.44,0.36
0,0.29,0.21,0.09,4.56,0.67
0,0.2,0.27,0.09,3.51,0.64
0,0.3,0.38,0.11,3.62,0.77
0,0.37,0.41,0.11,7,0.77
0,0.34,0.41,0.11,5.77,0.8
0,-0.01,0.11,0.04,0.64,0.1
0,-0.02,0.05,0.03,0.75,0.12
0,-0.04,0.07,0.02,0.65,0.08
0,0,0.06,0.05,0.63,0.11
0,-0.01,0.04,0.05,0.66,0.1
0,0.02,0.03,0.03,0.7,0.11
0,0.1,0.16,0.06,1.43,0.24
0,0.13,0.17,0.05,1.08,0.23
0,0.07,0.13,0.05,0.82,0.21
0,0.09,0.15,0.06,0.85,0.22
0,0.08,0.09,0.02,1.05,0.27
0,0.11,0.06,0.03,0.95,0.29
0,0.04,0.42,0.08,1.2,0.43
0,0.02,0.44,0.06,1.27,0.44
0,0.01,0.5,0.07,1.13,0.45
0,0.06,0.51,0.06,1.59,0.41
0,0.16,0.21,0.06,1.72,0.29
0,0.1,0.71,0.08,4.43,0.34
0,0.11,0.66,0.07,3.37,0.3
0,0.2,0.75,0.06,3.63,0.23
0,0.25,0.74,0.05,2.92,0.27
0,0.16,0.69,0.05,3.22,0.28
0,0.13,0.55,0.06,1.74,0.24
0,0.09,0.51,0.05,1.37,0.3
0,0.09,0.3,0.03,1.22,0.2
0,0.1,0.22,0.04,0.9,0.21
0,0.11,0.23,0.03,1.2,0.24
0,0.15,0.27,0.05,1.42,0.25
0,-0.06,0.56,0.11,5.76,0.39
0,-0.13,0.47,0.11,4.05,0.44
0,-0.23,0.5,0.06,3.53,0.36
0,-0.29,0.63,0.07,3.05,0.37
0,-0.25,0.66,0.07,3.46,0.35
0,-0.3,0.64,0.08,2.93,0.36
0,-0.1,0.17,0.06,2.41,0.19
0,-0.09,0.13,0.06,1.81,0.21
0,-0.1,0.15,0.06,2,0.22
0,-0.07,0.21,0.06,1.35,0.21
0,0,0.2,0.05,1.52,0.22
0,-0.01,0.24,0.06,1.36,0.2
0,0.06,0.32,0.05,2.49,0.23
0,0.09,0.33,0.04,1.95,0.19
0,0.2,0.36,0.02,1.74,0.16
0,0.21,0.25,0.04,1.68,0.2
0,0.18,0.26,0.03,1.7,0.21
0,0.23,0.29,0.04,2.2,0.2
0,0.05,0.15,0.01,0.78,0.22
0,0.01,0.14,0.04,0.68,0.28
0,0.02,0.16,0.05,0.89,0.09
0,0.03,0.13,0.06,0.41,0.12
0,0.02,0.12,0.04,0.48,0.11
0,0.03,0.1,0.04,0.64,0.13
0,0.25,0.16,0.05,0.48,0.29
0,0.24,0.12,0.07,0.74,0.3
0,0.24,0.14,0.04,0.46,0.27
0,0.2,0.16,0.05,0.61,0.26
0,0.19,-1.8,0.11,0.65,0.47
0,0.01,0.47,0.06,1.67,0.28
0,0.14,0.3,0.04,2.33,0.17
0,0.13,0.24,0.03,0.7,0.17
0,0.15,0.29,0.04,1.74,0.2
0,0.16,0.35,0.06,2.61,0.2
0,0,0.5,0.07,2.03,0.29
0,-0.02,0.55,0.06,1.14,0.27
0,-0.02,0.55,0.04,0.85,0.29
0,-0.03,0.54,0.05,1.01,0.3
0,0.04,0.51,0.05,0.66,0.27
0,0.04,0.22,0.05,0.95,0.3
0,0.09,0.17,0.06,0.99,0.27
0,0.11,0.18,0.04,1.02,0.25
0,0.14,0.17,0.04,1.19,0.3
0,0.14,0.18,0.04,1.66,0.28
0,0.13,0.2,0.06,2.05,0.32
0,0.04,-1.76,0.02,0.72,0.2
0,0.05,-1.99,0.04,0.31,0.26
0,0.1,0.47,0.07,6.18,0.36
0,0.07,0.52,0.07,5.75,0.35
0,0.07,0.4,0.06,3.16,0.26
0,0.09,0.42,0.08,3.64,0.35
0,0.12,0.44,0.06,3.68,0.34
0,0.11,0.48,0.06,4.24,0.31
0,0.05,0.13,0.06,0.5,0.11
0,0.01,0.16,0.05,0.63,0.15
0,0.05,0.2,0.04,0.64,0.13
0,0.05,0.19,0.02,0.49,0.11
0,0.09,0.25,0.05,0.62,0.13
0,-0.05,0.28,0.04,0.9,0.15
0,-0.07,0.05,0.04,0.58,0.2
0,-0.06,0.07,0.04,0.58,0.16
0,-0.02,0.09,0.02,0.68,0.17
0,0.02,0.08,0.05,0.74,0.64
0,0,0.14,0.04,0.64,0.09
0,0.05,0.09,-0.02,0.15,0.04
0,0.07,-0.01,0.03,0.19,0.07
0,0.06,-0.07,0.03,0.27,0.07
0,0.07,0.57,0.08,3.72,0.3
0,0.05,0.57,0.09,3.31,0.32
0,0.04,0.57,0.07,2.29,0.27
0,0.09,0.57,0.06,2.13,0.26
0,0.17,0.59,0.07,2.58,0.27
0,0.15,0.61,0.07,2.88,0.27
0,0.08,0.09,0.04,0.81,0.1
0,-0.07,0.1,0.05,0.82,0.1
0,-0.05,0.07,0.04,0.69,0.1
0,0.03,0.09,0.05,0.68,0.09
0,0.07,0.08,0.03,0.83,0.11
0,0.07,0.05,0.03,0.94,0.09
0,-0.11,0.17,0.02,0.76,0.11
0,-0.11,0.19,0.04,1.16,0.12
0,0.04,0.23,0.02,0.97,0.13
0,-0.07,0.21,0.06,1.1,0.13
0,0.01,0.21,0.05,1.4,0.15
0,-0.05,0.22,0.06,1.59,0.15
0,0.02,0.36,0.06,1.14,0.41
0,0,0.38,0.04,1.17,0.51
0,0.02,0.44,0.07,1.81,0.32
0,0.08,0.48,0.05,1.49,0.32
0,0.18,0.58,0.05,2.3,0.38
0,0.25,0.58,0.05,2.16,0.36
0,-0.13,0.09,-0.01,1,0.13
0,-0.06,0.12,0.03,1.15,0.14
0,-0.09,0.1,0,0.89,0.12
0,-0.11,0.09,0.05,0.72,0.13
0,-0.01,0.09,0.03,0.64,0.11
0,-0.03,0.05,0.02,0.67,0.09
0,0.05,0.09,0.05,0.78,0.2
0,0.13,0.07,0.03,0.94,0.19
0,0.1,-0.43,0.04,0.1,0.15
0,-0.31,-0.73,0.02,0.06,0.18
0,-0.73,-1.14,0,0.03,0.23
0,0.13,0.26,0.11,4.51,0.43
0,0.08,0.32,0.09,5.08,0.28
0,0.09,0.39,0.11,6.15,0.34
0,0.08,0.31,0.07,3.47,0.28
0,0.07,0.34,0.1,2.09,0.28
0,0.13,0.37,0.07,2.43,0.16
0,0.09,0.42,0.09,3,0.23
0,-0.07,0.41,0.09,2.59,0.22
0,0,0.54,0.07,2.91,0.22
0,-0.07,0.69,0.09,3.7,0.23
0,-0.03,0.31,0.06,0.99,0.16
0,-0.08,0.28,0.06,1.28,0.29
0,0.02,0.32,0.05,1.33,0.17
0,-0.03,0.34,0.06,1.35,0.16
0,-0.03,0.35,0.05,1.37,0.13
0,-0.08,0.31,0.05,1.64,0.13
0,0.31,0.39,0.07,2.23,0.43
0,0.29,0.37,0.07,2.79,0.42
0,0.43,0.37,0.07,3.09,0.37
0,0.37,0.37,0.06,3.44,0.37
0,0.36,0.35,0.05,7.76,0.36
0,0.41,0.36,-0.01,4.81,0.33
0,0.43,0.28,0.01,2.27,0.28
0,0.41,0.31,-0.01,0.7,0.25
0,0.45,0.27,0.04,1.66,0.25
0,0.52,0.35,0.07,2.97,0.3
0,0.47,0.48,0,1.14,0.25
0,0.31,0.24,0.01,0.62,0.24
0,0.35,0.14,-0.03,0.64,0.19
0,0.47,0.08,0,0.9,0.27
0,0.27,-0.32,0.03,0.65,0.3
0,0.27,-0.56,0,1.07,0.28
0,-0.02,0.53,0.05,3.47,0.36
0,0.05,0.59,0.08,3.9,0.41
0,0.07,0.66,0.05,3.86,0.32
0,0.05,0.64,0.06,3.05,0.35
0,0.07,0.69,0.06,3.23,0.35
0,0.11,0.73,0.09,3.57,0.41
0,0.05,0.19,0.05,1.77,0.21
0,0,0.16,0.03,1.04,0.13
0,0.06,0.19,0.07,1.65,0.24
0,0,0.3,0.05,0.57,0.29
0,0.01,0.32,0.04,0.77,0.31
0,-0.07,0.23,0.05,0.88,0.22
0,0.12,0.22,0.05,0.42,0.19
0,0.11,0.29,0.05,0.58,0.21
0,0.12,0.37,0.06,0.88,0.21
0,-0.01,0.21,0.03,1.02,0.14
0,-0.03,0.21,0.04,1.37,0.16
0,-0.08,0.21,0.04,0.9,0.12
0,-0.07,0.21,0.04,0.85,0.12
0,0.01,0.18,0.05,0.63,0.12
0,-0.03,0.18,0.04,0.7,0.12
0,0.41,0.39,0.1,1.45,0.81
0,0.38,0.38,0.1,1.47,0.73
0,0.19,0.18,0.06,0.37,0.33
0,0.18,0.19,0.06,0.36,0.33
0,0.15,0.14,0.06,0.26,0.34
0,0.17,0.13,0.05,0.2,0.31
1,0.2,0.05,0.01,0.27,0.28
0,0.08,0.41,0.05,2.23,0.41
0,0.08,0.42,0.06,2.4,0.4
0,0.05,0.39,0.07,2.01,0.4
0,0.05,0.43,0.08,2.53,0.41
0,0.52,0.14,0.07,0.51,0.6
0,0.45,0.25,0.08,1.08,0.63
0,0.04,0.02,0.04,0.22,0.19
0,0.07,-0.02,0.02,0.07,0.17
0,0.24,0.19,0.08,0.81,0.36
0,0.26,0.19,0.08,0.83,0.39
0,0.26,0.18,0.08,0.87,0.38
0,0.29,0.22,0.07,0.6,0.38
0,0.27,0.27,0.09,1.03,0.38
0,0.24,0.31,0.08,1.12,0.37
0,0.2,0.45,0.06,1.18,0.39
0,0.11,0.43,0.07,1.01,0.34
0,0.14,0.29,0.05,0.61,0.22
0,0.09,0.32,0.05,0.9,0.26
0,0.12,0.33,0.03,0.95,0.25
0,0.29,0.04,0.06,1.88,0.22
0,0.26,0.13,0.05,2.23,0.28
0,0.23,0.26,0.04,0.53,0.61
0,0.11,0.08,0,0.52,0.51
0,0.25,-0.08,0,0.49,0.64
0,0.23,-0.17,-0.02,0.25,0.64
0,0.29,-0.15,0.04,0.72,0.68
0,0.15,0.02,0.05,0.17,1.01
0,0.14,-0.02,0.04,0.18,1.11
0,0.16,-0.02,0.04,0.29,0.99
0,0.26,0.25,0.05,1.74,0.71
0,0.25,0.22,0.08,0.95,0.39
0,0.02,-0.47,0.04,1.5,0.15
0,0.03,-0.14,0.11,2.04,0.35
0,0.01,-0.06,0.04,1.54,0.14
0,0,-0.07,0.03,1.31,0.09
0,0.01,0.02,0.03,1.05,0.09
0,0.02,0.07,0.06,1.16,0.11
0,-0.11,0.11,0.05,1.74,0.16
0,0.04,0.65,0.09,5.23,0.19
0,0.05,0.57,0.08,2.14,0.19
0,0.04,0.59,0.06,2.45,0.15
0,0.04,0.65,0.07,2.85,0.15
0,0.04,0.69,0.07,3.89,0.14
0,0.05,0.75,0.07,2.92,0.17
0,0.13,0.82,0.16,12.89,0.78
0,0.01,0.75,0.08,6.8,0.66
0,0.16,0.66,0.03,2.69,0.57
0,0.33,0.56,0.08,2.1,0.5
0,0.45,0.64,0.09,3.02,0.51
0,0.43,0.74,0.09,3.79,0.52
0,0.02,0.08,0.04,0.43,0.24
0,0.05,0.19,0.05,0.33,0.23
0,0.01,0.23,0.07,0.51,0.27
0,0.05,0.24,0.05,0.31,0.21
0,0.06,0.23,0.03,0.34,0.07
0,0.13,0,0.04,0.69,0.13
0,0.16,-0.26,0.01,27.21,0.09
0,0.22,-0.11,0.04,41.26,0.1
0,0.26,-0.1,0.06,23.58,0.11
0,0.26,0.22,0.04,0.26,0.32
0,0.24,0.23,0.06,0.19,0.31
0,0.26,0.22,0.04,0.32,0.25
0,0.22,0.09,0.06,0.27,0.34
0,0.22,0.13,0.08,0.54,0.36
0,0.21,0.15,0.05,0.41,0.38
0,0.07,0.12,0.08,0.88,0.26
0,0.05,0.13,0.07,1.31,0.28
0,0.03,0.45,0.06,2.34,0.37
0,0.1,0.54,0.07,3.71,0.38
0,0.06,0.47,0.07,2.49,0.35
0,0.07,0.49,0.06,2.47,0.37
0,0.08,0.42,0.06,1.76,0.33
0,0.14,0.45,0.06,2.04,0.32
0,-0.27,0.46,0.09,2.41,0.4
0,-0.11,0.16,0.05,1.32,0.17
0,0.03,0.18,0.06,1.26,0.17
0,0.05,0.22,0.05,1.34,0.19
0,0.04,0.29,0.06,1.51,0.17
0,0.08,0.44,0.06,3.99,0.41
0,0.18,0.48,0.08,3.6,0.44
0,0.22,0.43,0.06,3.3,0.38
0,0.2,0.41,0.05,0.77,0.33
0,-0.01,0.34,0.05,1.01,0.33
0,0.22,0.33,0.05,1.17,0.33
0,-0.06,0.15,0.05,0.23,0.09
0,-0.08,0.14,0.04,0.31,0.09
0,0.22,0.38,0.06,1.58,0.33
0,0.19,0.46,0.06,2.75,0.39
0,0.17,0.55,0.13,2.65,0.94
0,0.12,-0.01,0.05,0.83,0.25
0,0.11,0.02,0.06,1.13,0.28
0,0.15,0.08,0.06,1.37,0.26
0,0.15,0.07,0.06,1.05,0.21
0,0.16,0.07,0.06,0.58,0.21
0,0.18,0.15,0.05,0.82,0.19
0,0.3,0.17,0.04,0.58,0.19
0,0.49,0.04,0.1,1.04,0.61
0,0.43,0.13,0.11,2.54,0.64
0,0.48,0.17,0.11,2.77,0.65
0,0.46,0.19,0.09,1.57,0.63
0,0.46,0.28,0.09,1.78,0.61
0,0.38,-1.74,0.07,1.83,0.53
0,0.02,0.11,0.03,0.33,0.25
0,0.05,0.07,0.04,0.22,0.24
0,0.04,0.11,0.03,0.46,0.24
0,0.04,0.13,0.04,0.61,0.22
0,0.11,0.45,0.09,5.31,0.27
0,-0.04,0.46,0.07,4.58,0.31
0,-0.02,0.5,0.08,4.54,0.28
0,0.06,0.54,0.08,4.25,0.28
0,0.04,0.67,0.1,4.85,0.29
0,0.01,0.74,0.09,5.66,0.32
0,0.14,0.67,0.08,2.12,0.24
